#query	seed_ortholog	evalue	score	eggNOG_OGs	max_annot_lvl	COG_category	Description	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction	PFAMs
MGYG000297002_00765	413404.Rmag_0368	0.0	970.0	COG1217@1|root,COG1217@2|Bacteria,1MV5Q@1224|Proteobacteria,1RMJB@1236|Gammaproteobacteria,1J5FD@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	T	GTP-binding protein TypA	typA	GO:0000027,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006950,GO:0006996,GO:0008150,GO:0009266,GO:0009408,GO:0009409,GO:0009628,GO:0009987,GO:0016043,GO:0022607,GO:0022613,GO:0022618,GO:0034622,GO:0042254,GO:0042255,GO:0042273,GO:0043933,GO:0044085,GO:0044424,GO:0044444,GO:0044464,GO:0050896,GO:0065003,GO:0070925,GO:0071826,GO:0071840	-	ko:K06207	-	-	-	-	ko00000	-	-	-	EFG_C,GTP_EFTU,GTP_EFTU_D2
MGYG000297002_00412	413404.Rmag_0263	0.0	1477.0	COG0178@1|root,COG0178@2|Bacteria,1MW0W@1224|Proteobacteria,1RMS9@1236|Gammaproteobacteria,1J57N@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	L	The UvrABC repair system catalyzes the recognition and processing of DNA lesions. UvrA is an ATPase and a DNA-binding protein. A damage recognition complex composed of 2 UvrA and 2 UvrB subunits scans DNA for abnormalities. When the presence of a lesion has been verified by UvrB, the UvrA molecules dissociate	uvrA	GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0004518,GO:0004519,GO:0004520,GO:0004536,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006281,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009314,GO:0009380,GO:0009381,GO:0009628,GO:0009987,GO:0016462,GO:0016787,GO:0016788,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0032991,GO:0033554,GO:0034641,GO:0042802,GO:0043170,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:0140097,GO:1901360,GO:1901363,GO:1902494,GO:1905347,GO:1905348,GO:1990391	-	ko:K03701	ko03420,map03420	-	-	-	ko00000,ko00001,ko03400	-	-	-	ABC_tran,BCA_ABC_TP_C
MGYG000297002_00028	413404.Rmag_0456	1e-251	700.0	COG1109@1|root,COG1109@2|Bacteria,1MUA5@1224|Proteobacteria,1RMU8@1236|Gammaproteobacteria,1J8BE@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	G	Phosphoglucomutase/phosphomannomutase, C-terminal domain	algC	-	5.4.2.2,5.4.2.8	ko:K01840,ko:K15778	ko00010,ko00030,ko00051,ko00052,ko00230,ko00500,ko00520,ko00521,ko01100,ko01110,ko01120,ko01130,map00010,map00030,map00051,map00052,map00230,map00500,map00520,map00521,map01100,map01110,map01120,map01130	M00114	R00959,R01057,R01818,R08639	RC00408	ko00000,ko00001,ko00002,ko01000	-	-	-	PGM_PMM_I,PGM_PMM_II,PGM_PMM_III,PGM_PMM_IV
MGYG000297002_00156	933262.AXAM01000081_gene2264	9.75e-189	533.0	COG2230@1|root,COG2230@2|Bacteria,1MX3U@1224|Proteobacteria,42PB7@68525|delta/epsilon subdivisions,2WJX5@28221|Deltaproteobacteria,2MHX3@213118|Desulfobacterales	28221|Deltaproteobacteria	M	Mycolic acid cyclopropane synthetase	-	-	2.1.1.79	ko:K00574	-	-	-	-	ko00000,ko01000	-	-	-	CMAS
MGYG000297002_00220	412965.COSY_0722	4.07e-43	147.0	COG2891@1|root,COG2891@2|Bacteria	2|Bacteria	M	Involved in formation of the rod shape of the cell. May also contribute to regulation of formation of penicillin-binding proteins	mreD	GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0008150,GO:0008360,GO:0016020,GO:0016021,GO:0022603,GO:0022604,GO:0031224,GO:0031226,GO:0044425,GO:0044459,GO:0044464,GO:0050789,GO:0050793,GO:0050794,GO:0051128,GO:0065007,GO:0065008,GO:0071944	-	ko:K03571	-	-	-	-	ko00000,ko03036	9.B.157.1	-	-	ECF-ribofla_trS,MreD
MGYG000297002_00348	1123399.AQVE01000007_gene1138	8.1e-176	504.0	COG0665@1|root,COG0665@2|Bacteria,1MVIZ@1224|Proteobacteria,1RQ50@1236|Gammaproteobacteria	1236|Gammaproteobacteria	E	Oxidative deamination of D-amino acids	dadA	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005886,GO:0006082,GO:0006520,GO:0006522,GO:0006524,GO:0006807,GO:0008150,GO:0008152,GO:0008718,GO:0009056,GO:0009063,GO:0009078,GO:0009080,GO:0009324,GO:0009987,GO:0016020,GO:0016054,GO:0016491,GO:0016638,GO:0019478,GO:0019480,GO:0019752,GO:0032991,GO:0042851,GO:0042853,GO:0043436,GO:0044237,GO:0044238,GO:0044248,GO:0044281,GO:0044282,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0046144,GO:0046395,GO:0046416,GO:0046436,GO:0055114,GO:0055130,GO:0071704,GO:0071944,GO:0098796,GO:0098797,GO:1901564,GO:1901565,GO:1901575,GO:1901605,GO:1901606,GO:1902494,GO:1990204	1.4.5.1	ko:K00285	ko00360,map00360	-	R01374,R09493	RC00006,RC00025	ko00000,ko00001,ko01000	-	-	iSBO_1134.SBO_1883,iSFV_1184.SFV_1196,iSF_1195.SF1178,iSFxv_1172.SFxv_1352,iS_1188.S1266,iUMNK88_1353.UMNK88_1502,iYL1228.KPN_02309	DAO,NAD_binding_8
MGYG000297002_00445	412965.COSY_0222	3.39e-147	427.0	COG0635@1|root,COG0635@2|Bacteria,1MU76@1224|Proteobacteria,1RN6I@1236|Gammaproteobacteria,1J4XU@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	H	Involved in the biosynthesis of porphyrin-containing compound	yggW	GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006725,GO:0006778,GO:0006779,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009987,GO:0018130,GO:0019438,GO:0033013,GO:0033014,GO:0034641,GO:0044237,GO:0044249,GO:0044271,GO:0044424,GO:0044464,GO:0046483,GO:0048037,GO:0051186,GO:0051188,GO:0051536,GO:0051539,GO:0051540,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	-	-	-	-	-	-	-	-	-	-	Fer4_14,HemN_C,Radical_SAM
MGYG000297002_00477	713586.KB900536_gene463	2.51e-50	162.0	COG3791@1|root,COG3791@2|Bacteria,1PY7G@1224|Proteobacteria,1SXYP@1236|Gammaproteobacteria,1X1WI@135613|Chromatiales	135613|Chromatiales	S	Glutathione-dependent formaldehyde-activating enzyme	-	-	-	-	-	-	-	-	-	-	-	-	GFA
MGYG000297002_00509	413404.Rmag_1048	8.71e-48	160.0	COG0712@1|root,COG0712@2|Bacteria	2|Bacteria	C	F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation	atpH	GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005622,GO:0005623,GO:0005886,GO:0006139,GO:0006163,GO:0006164,GO:0006725,GO:0006753,GO:0006754,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006811,GO:0006812,GO:0008150,GO:0008152,GO:0008324,GO:0009058,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009167,GO:0009168,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009987,GO:0015075,GO:0015077,GO:0015078,GO:0015318,GO:0015399,GO:0015405,GO:0015672,GO:0015985,GO:0015986,GO:0016020,GO:0016462,GO:0016469,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0017144,GO:0018130,GO:0019438,GO:0019637,GO:0019693,GO:0019829,GO:0022804,GO:0022853,GO:0022857,GO:0022890,GO:0032991,GO:0033178,GO:0034220,GO:0034641,GO:0034654,GO:0036442,GO:0042623,GO:0042625,GO:0042626,GO:0043492,GO:0044237,GO:0044238,GO:0044249,GO:0044271,GO:0044281,GO:0044424,GO:0044425,GO:0044459,GO:0044464,GO:0044769,GO:0045259,GO:0045260,GO:0045261,GO:0045262,GO:0046034,GO:0046390,GO:0046483,GO:0046933,GO:0046961,GO:0051179,GO:0051234,GO:0055085,GO:0055086,GO:0071704,GO:0071944,GO:0072521,GO:0072522,GO:0090407,GO:0090662,GO:0098655,GO:0098660,GO:0098662,GO:0098796,GO:0098797,GO:0099131,GO:0099132,GO:1901135,GO:1901137,GO:1901293,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1902600	-	ko:K02113	ko00190,ko00195,ko01100,map00190,map00195,map01100	M00157	-	-	ko00000,ko00001,ko00002,ko00194	3.A.2.1	-	iSF_1195.SF3815,iSFxv_1172.SFxv_4157,iS_1188.S3953	OSCP
MGYG000297002_00607	944547.ABLL_1043	3.82e-60	196.0	COG1802@1|root,COG1802@2|Bacteria,1R96W@1224|Proteobacteria	1224|Proteobacteria	K	Transcriptional regulator	-	-	-	-	-	-	-	-	-	-	-	-	FCD,GntR
MGYG000297002_00639	1122599.AUGR01000004_gene2060	1.3e-75	231.0	COG0431@1|root,COG0431@2|Bacteria,1RAFI@1224|Proteobacteria,1RYNR@1236|Gammaproteobacteria	1236|Gammaproteobacteria	S	NAD(P)H-dependent FMN reductase	yieF	GO:0000166,GO:0003674,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006805,GO:0008150,GO:0008152,GO:0009410,GO:0009987,GO:0010181,GO:0016491,GO:0016645,GO:0016646,GO:0032553,GO:0036094,GO:0042221,GO:0043167,GO:0043168,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0048037,GO:0050662,GO:0050896,GO:0051716,GO:0052873,GO:0055114,GO:0070887,GO:0071466,GO:0097159,GO:0097367,GO:1901265,GO:1901363	-	ko:K19784	-	-	-	-	ko00000	-	-	-	FMN_red
MGYG000297002_00671	439493.PB7211_754	1.35e-197	551.0	COG2113@1|root,COG2113@2|Bacteria,1MWZU@1224|Proteobacteria,2TTPN@28211|Alphaproteobacteria,4BSG5@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	E	ABC-type proline glycine betaine transport	proX	-	-	ko:K02002	ko02010,map02010	M00208	-	-	ko00000,ko00001,ko00002,ko02000	3.A.1.12	-	-	OpuAC
MGYG000297002_00705	413404.Rmag_0336	9e-242	675.0	COG1055@1|root,COG1055@2|Bacteria,1MUH8@1224|Proteobacteria,1RPSM@1236|Gammaproteobacteria,1J6D6@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	P	Citrate transporter	nhaD	-	-	-	-	-	-	-	-	-	-	-	CitMHS,PAS_4
MGYG000297002_00737	413404.Rmag_0414	5.31e-54	174.0	COG0801@1|root,COG0801@2|Bacteria,1MZH8@1224|Proteobacteria,1S63J@1236|Gammaproteobacteria,1J6J2@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	H	COG0801 7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase	folK	GO:0000287,GO:0003674,GO:0003824,GO:0003848,GO:0005488,GO:0016740,GO:0016772,GO:0016778,GO:0043167,GO:0043169,GO:0046872	2.7.6.3	ko:K00950	ko00790,ko01100,map00790,map01100	M00126,M00841	R03503	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000	-	-	iECDH1ME8569_1439.ECDH1ME8569_0136,iEcDH1_1363.EcDH1_3460,iJN746.PP_4698,iSBO_1134.SBO_0131	HPPK
MGYG000297002_00769	413404.Rmag_0371	1.05e-113	329.0	COG0066@1|root,COG0066@2|Bacteria,1MVXB@1224|Proteobacteria,1RNMK@1236|Gammaproteobacteria,1J573@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	E	Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate	leuD	-	4.2.1.33,4.2.1.35	ko:K01704	ko00290,ko00660,ko01100,ko01110,ko01210,ko01230,map00290,map00660,map01100,map01110,map01210,map01230	M00432,M00535	R03896,R03898,R03968,R04001,R10170	RC00976,RC00977,RC01041,RC01046,RC03072	br01601,ko00000,ko00001,ko00002,ko01000	-	-	-	Aconitase_C
MGYG000297002_00833	467661.RKLH11_967	5.71e-186	523.0	COG2021@1|root,COG2021@2|Bacteria,1MVJV@1224|Proteobacteria,2TQYA@28211|Alphaproteobacteria	28211|Alphaproteobacteria	E	Transfers an acetyl group from acetyl-CoA to L- homoserine, forming acetyl-L-homoserine	-	-	2.3.1.31	ko:K00641	ko00270,ko01100,ko01130,map00270,map01100,map01130	-	R01776	RC00004,RC00041	ko00000,ko00001,ko01000	-	-	-	Abhydrolase_1
MGYG000297002_00865	413404.Rmag_0557	5.99e-217	615.0	COG0728@1|root,COG0728@2|Bacteria,1MUH0@1224|Proteobacteria,1RMXX@1236|Gammaproteobacteria,1J4CG@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	U	Involved in peptidoglycan biosynthesis. Transports lipid-linked peptidoglycan precursors from the inner to the outer leaflet of the cytoplasmic membrane	murJ	GO:0000270,GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0005887,GO:0006022,GO:0006023,GO:0006024,GO:0006807,GO:0006810,GO:0006869,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009252,GO:0009273,GO:0009987,GO:0010876,GO:0015647,GO:0015648,GO:0015835,GO:0015836,GO:0016020,GO:0016021,GO:0016043,GO:0022857,GO:0022884,GO:0030203,GO:0031224,GO:0031226,GO:0033036,GO:0034203,GO:0034204,GO:0034645,GO:0042546,GO:0043170,GO:0044036,GO:0044038,GO:0044085,GO:0044237,GO:0044249,GO:0044260,GO:0044425,GO:0044459,GO:0044464,GO:0046836,GO:0051179,GO:0051234,GO:0055085,GO:0061024,GO:0065007,GO:0065008,GO:0070589,GO:0071554,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0071944,GO:0097035,GO:1901135,GO:1901137,GO:1901264,GO:1901505,GO:1901564,GO:1901566,GO:1901576	-	ko:K03980	-	-	-	-	ko00000,ko01011,ko02000	2.A.66.4	-	iECO103_1326.ECO103_1114	AWPM-19,MVIN,Polysacc_synt_C
MGYG000297002_00897	412965.COSY_0152	3.56e-111	331.0	COG2269@1|root,COG2269@2|Bacteria,1MU97@1224|Proteobacteria,1RMR9@1236|Gammaproteobacteria,1J5W0@118884|unclassified Gammaproteobacteria	1236|Gammaproteobacteria	J	Elongation factor P--(R)-beta-lysine ligase	epmA	GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006139,GO:0006399,GO:0006412,GO:0006418,GO:0006430,GO:0006464,GO:0006518,GO:0006520,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0016070,GO:0016740,GO:0016746,GO:0016755,GO:0018193,GO:0018205,GO:0019538,GO:0019752,GO:0034641,GO:0034645,GO:0034660,GO:0036211,GO:0043038,GO:0043039,GO:0043043,GO:0043170,GO:0043412,GO:0043436,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0052868,GO:0071704,GO:0071915,GO:0072580,GO:0072581,GO:0090304,GO:0140096,GO:1901360,GO:1901564,GO:1901566,GO:1901576	-	ko:K04568	-	-	-	-	ko00000,ko01000,ko03012	-	-	-	DUF559,tRNA-synt_2
MGYG000297002_00932	331869.BAL199_08643	3.27e-66	216.0	COG0697@1|root,COG0697@2|Bacteria,1RAJV@1224|Proteobacteria,2U919@28211|Alphaproteobacteria,4BQBR@82117|unclassified Alphaproteobacteria	28211|Alphaproteobacteria	EG	EamA-like transporter family	-	-	-	ko:K15270	-	-	-	-	ko00000,ko02000	2.A.7.3.7	-	-	EamA
