contig	module_accession	completeness	pathway_name	pathway_class	matching_ko	missing_ko
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00093	33.33	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	Pathway modules; Lipid metabolism; Lipid metabolism	K00981	K00998,K01613
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00140	33.33	C1-unit interconversion, prokaryotes	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01938	K00600,K01491
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00526	33.33	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01714,K00215	K01586,K00928,K03340,K00133
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00007	25.0	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01783	K01807,K00615,K00616
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00022	25.0	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	K00014,K00891,K03785	K01736,K00800,K01735,K01626
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00170	25.0	C4-dicarboxylic acid cycle, phosphoenolpyruvate carboxykinase type	Pathway modules; Energy metabolism; Carbon fixation	K01610	K14455,K14454,K01595
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00632	25.0	Galactose degradation, Leloir pathway, galactose => alpha-D-glucose-1P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01784	K01785,K00965,K00849
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00001	22.22	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K21071,K01689	K00927,K01810,K00844,K01803,K00873,K01623,K00134,K01834
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00016	22.22	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01714,K00215	K01778,K01439,K00133,K00821,K01586,K00928,K00674
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00525	22.22	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01714,K00215	K05823,K00841,K01778,K05822,K00133,K01586,K00928
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00002	20.0	Glycolysis, core module involving three-carbon compounds	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01689	K00927,K00134,K01803,K01834,K00873
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00841	20.0	Tetrahydrofolate biosynthesis, mediated by PTPS, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K11754	K13941,K22101,K13998,K01495
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00793	16.67	dTDP-L-rhamnose biosynthesis	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	K00067	K01790,K01710,K00973
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00004	14.29	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01783	K01807,K01810,K13937,K00033,K00615,K00616
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00377	14.29	Reductive acetyl-CoA pathway (Wood-Ljungdahl pathway)	Pathway modules; Energy metabolism; Carbon fixation	K01938	K00198,K00194,K01491,K00297,K15023,K05299,K14138,K00197
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00546	13.33	Purine degradation, xanthine => urea	Pathway modules; Nucleotide metabolism; Purine metabolism	K13479,K00087	K13480,K01477,K00365,K01466,K13484
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00051	11.11	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K00609,K00610	K01954,K13421,K01465,K00226
ERZ8153470.1-NODE-1-length-463587-cov-24.019008	M00346	11.11	Formaldehyde assimilation, serine pathway	Pathway modules; Energy metabolism; Methane metabolism	K01689	K00830,K00600,K00024,K01595,K08691,K08692,K14067,K00018,K11529
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00005	100.0	PRPP biosynthesis, ribose 5P => PRPP	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00948	
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00020	66.67	Serine biosynthesis, glycerate-3P => serine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00058,K00831	K01079
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00019	62.5	Valine/isoleucine biosynthesis, pyruvate => valine / 2-oxobutanoate => isoleucine	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00826,K01687,K01652	K01653,K00053
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00015	50.0	Proline biosynthesis, glutamate => proline	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K00286	K00931,K00147
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00021	50.0	Cysteine biosynthesis, serine => cysteine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00640	K01738
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00141	50.0	C1-unit interconversion, eukaryotes	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00600	K00288
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00570	50.0	Isoleucine biosynthesis, threonine => 2-oxobutanoate => isoleucine	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00826,K01687,K01652	K17989,K01653,K00053
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00854	50.0	Glycogen biosynthesis, glucose-1P => glycogen/starch	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00700	K00975,K00703
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00631	40.0	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K16849,K00041,K16850	K01625,K01812,K00874
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00119	33.33	Pantothenate biosynthesis, valine/L-aspartate => pantothenate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00826	K00606,K00077
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00140	33.33	C1-unit interconversion, prokaryotes	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00600	K01491,K01938
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00432	33.33	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00052	K01649,K01702
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00526	33.33	Lysine biosynthesis, DAP dehydrogenase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01586,K00928	K01714,K00215,K03340,K00133
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00535	33.33	Isoleucine biosynthesis, pyruvate => 2-oxobutanoate	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00052	K01703,K01704,K09011
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00549	33.33	Nucleotide sugar biosynthesis, glucose => UDP-glucose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00845	K01835,K00963
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00527	28.57	Lysine biosynthesis, DAP aminotransferase pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01586,K00928	K01778,K00133,K01714,K00215,K10206
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00006	25.0	Pentose phosphate pathway, oxidative phase, glucose 6P => ribulose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K07404	K00036,K00033
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00007	25.0	Pentose phosphate pathway, non-oxidative phase, fructose 6P => ribose 5P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01808	K01783,K00615,K00616
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00008	25.0	Entner-Doudoroff pathway, glucose-6P => glyceraldehyde-3P + pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K07404	K00036,K01625,K01690
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00022	25.0	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	K01736	K01626,K00014,K00800,K01735,K00891,K03785
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00049	25.0	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00873	K01756,K00939,K01939
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00050	25.0	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00873	K01951,K00088,K00942
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00001	22.22	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00845,K00873	K00927,K01810,K01803,K00850,K01689,K01623,K00134,K01834
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00016	22.22	Lysine biosynthesis, succinyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01586,K00928	K01778,K01439,K00133,K00821,K01714,K00674,K00215
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00525	22.22	Lysine biosynthesis, acetyl-DAP pathway, aspartate => lysine	Pathway modules; Amino acid metabolism; Lysine metabolism	K01586,K00928	K05823,K00841,K01778,K05822,K00133,K01714,K00215
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00004	21.43	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01808,K07404	K01810,K00033,K01783,K00036,K00615,K00616
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00002	20.0	Glycolysis, core module involving three-carbon compounds	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00873	K00927,K00134,K01803,K01689,K01834
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00018	20.0	Threonine biosynthesis, aspartate => homoserine => threonine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00928	K00133,K01733,K00003,K00872
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00033	20.0	Ectoine biosynthesis, aspartate => ectoine	Pathway modules; Amino acid metabolism; Serine and threonine metabolism	K00928	K06718,K06720,K00133,K00836
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00126	20.0	Tetrahydrofolate biosynthesis, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00287	K13939,K01077,K11754,K01495
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00036	16.67	Leucine degradation, leucine => acetoacetate + acetyl-CoA	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00826	K00382,K00253,K01640,K00167,K05607,K00166,K09699,K01968,K01969
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00051	16.67	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K01465	K11541,K13421,K00226
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00124	16.67	Pyridoxal biosynthesis, erythrose-4P => pyridoxal-5P	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00831	K00275,K03472,K03474,K00097,K03473
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00565	16.67	Trehalose biosynthesis, D-glucose 1P => trehalose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00700	K06044,K00975,K01214,K00703,K01236
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00609	16.67	Cysteine biosynthesis, methionine => cysteine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K07173	K17216,K00789,K17217,K17462,K01243
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00840	16.67	Tetrahydrofolate biosynthesis, mediated by ribA and trpF, GTP => THF	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00287	K14652,K22100,K13941,K01633,K22099
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00017	14.29	Methionine biosynthesis, apartate => homoserine => methionine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K00928	K01739,K00548,K00133,K00651,K01760,K00003
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00167	14.29	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	Pathway modules; Energy metabolism; Carbon fixation	K01808	K01623,K01100,K00615,K03841
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00096	12.5	C5 isoprenoid biosynthesis, non-mevalonate pathway	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K00919	K03527,K00991,K01823,K01770,K03526,K01662,K00099
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00346	11.11	Formaldehyde assimilation, serine pathway	Pathway modules; Energy metabolism; Methane metabolism	K00600	K00830,K01689,K00024,K01595,K08691,K08692,K14067,K00018,K11529
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00532	11.11	Photorespiration	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00600	K00830,K15893,K01601,K03781,K14272,K11517,K19269,K15918
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00165	9.09	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules; Energy metabolism; Carbon fixation	K01808	K00927,K05298,K00855,K01623,K01601,K00615,K01100,K03841
ERZ8153470.2-NODE-2-length-318169-cov-33.135118	M00003	7.14	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K04041	K00927,K01623,K01596,K00134,K01803,K01689,K01834
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00144	59.09	NADH	Pathway modules; Energy metabolism; ATP synthesis	K00338,K00343,K00340,K00341,K00330,K00331,K00339,K13378	K00335,K00342,K00336,K00337,K00334
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00083	50.0	Fatty acid biosynthesis, elongation	Pathway modules; Lipid metabolism; Fatty acid metabolism	K00208,K02372	K00059,K00647
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00866	44.44	KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	K00748,K00677,K02536,K16363	K09778,K00912,K03269,K02527,K02517
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00048	37.5	Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	Pathway modules; Nucleotide metabolism; Purine metabolism	K01933,K00602,K01923	K00601,K00764,K01756,K01952,K01945
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00060	33.33	KDO2-lipid A biosynthesis, Raetz pathway, LpxL-LpxM type	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	K00748,K00677,K02536	K00912,K02535,K03269,K02560,K02527,K02517
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00093	33.33	Phosphatidylethanolamine (PE) biosynthesis, PA => PS => PE	Pathway modules; Lipid metabolism; Lipid metabolism	K00981	K00998,K01613
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00572	33.33	Pimeloyl-ACP biosynthesis, BioC-BioH pathway, malonyl-ACP => pimeloyl-ACP	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K00208,K02372	K02169,K00059,K00647,K02170
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00627	33.33	beta-Lactam resistance, Bla system	Signature modules; Gene set; Drug resistance	K02171	K18766,K02172
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00049	25.0	Adenine ribonucleotide biosynthesis, IMP => ADP,ATP	Pathway modules; Nucleotide metabolism; Purine metabolism	K00939	K01756,K00940,K01939
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00079	25.0	Keratan sulfate degradation	Pathway modules; Glycan metabolism; Glycosaminoglycan metabolism	K12373	K12309,K01137,K01132
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00116	22.22	Menaquinone biosynthesis, chorismate => menaquinol	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K02548,K03183	K02549,K02551,K01911,K19222,K02552,K01661,K08680
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00051	16.67	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K01591	K00762,K11540,K00226
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00004	14.29	Pentose phosphate pathway (Pentose phosphate cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K06859	K01807,K13937,K00033,K01783,K00615,K00616
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00017	14.29	Methionine biosynthesis, apartate => homoserine => methionine	Pathway modules; Amino acid metabolism; Cysteine and methionine metabolism	K14155	K01739,K00548,K00133,K00651,K00928,K00003
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00096	12.5	C5 isoprenoid biosynthesis, non-mevalonate pathway	Pathway modules; Biosynthesis of terpenoids and polyketides; Terpenoid backbone biosynthesis	K01662	K03527,K00991,K01823,K00919,K01770,K03526,K00099
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00001	11.11	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K06859	K00927,K00844,K01803,K00850,K01689,K00873,K01623,K00134,K01834
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00117	11.11	Ubiquinone biosynthesis, prokaryotes, chorismate => ubiquinone	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K03183	K03179,K00568,K03184,K03186,K03181,K18800,K03185,K03182
ERZ8153470.3-NODE-3-length-244916-cov-17.213215	M00022	6.25	Shikimate pathway, phosphoenolpyruvate + erythrose-4P => chorismate	Pathway modules; Amino acid metabolism; Aromatic amino acid metabolism	K00014	K00891,K01626,K00800,K01735,K01736,K03785
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00157	100.0	F-type ATPase, prokaryotes and chloroplasts	Pathway modules; Energy metabolism; ATP synthesis	K02108,K02114,K02112,K02111,K02115,K02113,K02110,K02109	
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00793	100.0	dTDP-L-rhamnose biosynthesis	Pathway modules; Biosynthesis of terpenoids and polyketides; Polyketide sugar unit biosynthesis	K01710,K01790,K00973,K00067	
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00064	40.0	ADP-L-glycero-D-manno-heptose biosynthesis	Pathway modules; Glycan metabolism; Lipopolysaccharide metabolism	K03273,K03271	K03272,K03274
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00307	33.33	Pyruvate oxidation, pyruvate => acetyl-CoA	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00382	K00627,K00163
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00345	33.33	Formaldehyde assimilation, ribulose monophosphate pathway	Pathway modules; Energy metabolism; Methane metabolism	K01624	K08093,K08094,K00850
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00432	33.33	Leucine biosynthesis, 2-oxoisovalerate => 2-oxoisocaproate	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K01649	K00052,K01702
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00167	28.57	Reductive pentose phosphate cycle, glyceraldehyde-3P => ribulose-5P	Pathway modules; Energy metabolism; Carbon fixation	K01624	K01100,K01807,K00615,K03841
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00050	25.0	Guanine ribonucleotide biosynthesis IMP => GDP,GTP	Pathway modules; Nucleotide metabolism; Purine metabolism	K01951	K00088,K00940,K00942
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00344	25.0	Formaldehyde assimilation, xylulose monophosphate pathway	Pathway modules; Energy metabolism; Methane metabolism	K01624	K00863,K03841,K17100
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00532	25.0	Photorespiration	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00382	K00281,K02437,K00605
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00165	18.18	Reductive pentose phosphate cycle (Calvin cycle)	Pathway modules; Energy metabolism; Carbon fixation	K01624	K00927,K05298,K00855,K01807,K01601,K00615,K01100,K03841
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00622	16.67	Nicotinate degradation, nicotinate => fumarate	Pathway modules; Metabolism of cofactors and vitamins; Cofactor and vitamin metabolism	K01799	K15357,K14974,K18028,K13995,K18030,K18029
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00014	14.29	Glucuronate pathway (uronate pathway)	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00854	K12447,K13247,K16190,K03331,K00012,K05351,K00002
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00001	11.11	Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01624	K00927,K01810,K00844,K01803,K00850,K01689,K00873,K00134,K01834
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00003	7.14	Gluconeogenesis, oxaloacetate => fructose-6P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01624	K00927,K01596,K00134,K01803,K01689,K01834,K03841
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00011	6.67	Citrate cycle, second carbon oxidation, 2-oxoglutarate => oxaloacetate	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00382	K01676,K01903,K00236,K00234,K00658,K00026,K01902,K00164,K00237,K00235
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00032	5.56	Lysine degradation, lysine => saccharopine => acetoacetyl-CoA	Pathway modules; Amino acid metabolism; Lysine metabolism	K00382	K15791,K07514,K14157,K00825,K00252,K14085,K00658
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00036	5.56	Leucine degradation, leucine => acetoacetate + acetyl-CoA	Pathway modules; Amino acid metabolism; Branched-chain amino acid metabolism	K00382	K00253,K01640,K00167,K05607,K00166,K09699,K01968,K00826,K01969
ERZ8153470.4-NODE-4-length-242800-cov-30.278968	M00009	4.17	Citrate cycle (TCA cycle, Krebs cycle)	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K00382	K00031,K01903,K00236,K00234,K00658,K01676,K00026,K01647,K00164,K01902,K00237,K01681,K00235
ERZ8153470.5-NODE-5-length-232362-cov-25.524930	M00157	100.0	F-type ATPase, prokaryotes and chloroplasts	Pathway modules; Energy metabolism; ATP synthesis	K02108,K02114,K02112,K02111,K02115,K02113,K02110,K02109	
ERZ8153470.5-NODE-5-length-232362-cov-25.524930	M00631	80.0	D-Galacturonate degradation (bacteria), D-galacturonate => pyruvate + D-glyceraldehyde 3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01625,K01812,K00874,K01685	K00041
ERZ8153470.5-NODE-5-length-232362-cov-25.524930	M00061	60.0	D-Glucuronate degradation, D-glucuronate => pyruvate + D-glyceraldehyde 3P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K01625,K01812,K00874	K00040,K01686
ERZ8153470.5-NODE-5-length-232362-cov-25.524930	M00051	50.0	Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	Pathway modules; Nucleotide metabolism; Pyrimidine metabolism	K01591,K17828	K00762,K11540
ERZ8153470.5-NODE-5-length-232362-cov-25.524930	M00308	50.0	Semi-phosphorylative Entner-Doudoroff pathway, gluconate => glycerate-3P	Pathway modules; Carbohydrate metabolism; Central carbohydrate metabolism	K01625,K00874	K00927,K05308,K00134
ERZ8153470.5-NODE-5-length-232362-cov-25.524930	M00554	50.0	Nucleotide sugar biosynthesis, galactose => UDP-galactose	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00965	K00849
ERZ8153470.5-NODE-5-length-232362-cov-25.524930	M00345	33.33	Formaldehyde assimilation, ribulose monophosphate pathway	Pathway modules; Energy metabolism; Methane metabolism	K01624	K08093,K08094,K00850
ERZ8153470.5-NODE-5-length-232362-cov-25.524930	M00844	33.33	Arginine biosynthesis, ornithine => arginine	Pathway modules; Amino acid metabolism; Arginine and proline metabolism	K00611	K01940,K01755
ERZ8153470.5-NODE-5-length-232362-cov-25.524930	M00855	33.33	Glycogen degradation, glycogen => glucose-6P	Pathway modules; Carbohydrate metabolism; Other carbohydrate metabolism	K00688	K01196,K15779
