Genome	Genome_type	Length	N_contigs	N50	GC_content	Completeness	Contamination	rRNA_5S	rRNA_16S	rRNA_23S	tRNAs	Genome_accession	Species_rep	Lineage	Sample_accession	Study_accession	Country	Continent	FTP_download
MGYG000296014	MAG	1713981	47	53600	46.01	85.45	0.0	94.12	99.74	99.83	17	CAJVXU01	MGYG000296014	d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__UBA6902;f__UBA6902;g__BMS3Abin09;s__BMS3Abin09 sp002897915	ERS7419655	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296014/genomes1/MGYG000296014.gff.gz
MGYG000296015	MAG	2717271	84	61716	64.71	94.37	1.24	92.44	61.38	15.66	19	CAJXKP01	MGYG000296015	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Nitrococcaceae;g__;s__	ERS7418839	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296015/genomes1/MGYG000296015.gff.gz
MGYG000296016	MAG	5978377	555	15894	35.28	95.54	0.99	0.00	0.00	0.00	17	CAJXUU01	MGYG000296016	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__UBA1994;s__	ERS7418362	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296016/genomes1/MGYG000296016.gff.gz
MGYG000296017	MAG	4599402	185	38248	40.41	74.14	0.0	93.28	0.00	12.14	20	CAJWCF01	MGYG000296017	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Paraglaciecola;s__	ERS7418587	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296017/genomes1/MGYG000296017.gff.gz
MGYG000296018	MAG	2464465	74	62248	52.84	96.15	1.42	94.96	0.00	11.01	20	CAJWXS01	MGYG000296018	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__TK06;g__UBA6944;s__UBA6944 sp002296525	ERS7419194	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296018/genomes1/MGYG000296018.gff.gz
MGYG000296019	MAG	1266194	146	12600	36.44	79.72	3.71	0.00	0.00	0.00	17	CAJWRF01	MGYG000296019	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__GCA-2721545;s__GCA-2721545 sp002721545	ERS7418637	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296019/genomes1/MGYG000296019.gff.gz
MGYG000296020	MAG	2765318	379	9452	35.97	88.09	1.08	0.00	0.00	0.00	16	CAJXRL01	MGYG000296020	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Vicingaceae;g__BCD18;s__	ERS7418512	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296020/genomes1/MGYG000296020.gff.gz
MGYG000296021	MAG	2489109	220	17152	43.93	86.48	0.56	93.28	87.08	6.53	17	CAJWYC01	MGYG000296021	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002172295	ERS7418453	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296021/genomes1/MGYG000296021.gff.gz
MGYG000296022	MAG	3066436	353	10833	45.39	81.24	3.87	0.00	29.22	0.00	17	CAJXKR01	MGYG000296022	d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfohalobiaceae;g__;s__	ERS7418601	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296022/genomes1/MGYG000296022.gff.gz
MGYG000296023	MAG	1854133	198	11266	51.39	87.59	2.52	0.00	20.61	0.00	15	CAJXNE01	MGYG000296023	d__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae;g__Mariprofundus;s__	ERS7419590	ERP121137	Greece	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296023/genomes1/MGYG000296023.gff.gz
MGYG000296024	MAG	3116770	137	37363	52.58	91.54	0.74	0.00	0.00	0.00	16	CAJWOP01	MGYG000296024	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__UBA9145;s__UBA9145 sp002731775	ERS7418871	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296024/genomes1/MGYG000296024.gff.gz
MGYG000296025	MAG	4073333	100	56451	64.33	96.0	1.65	94.12	93.02	99.86	19	CAJWEZ01	MGYG000296025	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales_C;f__Alkalispirochaetaceae;g__Alkalispirochaeta;s__Alkalispirochaeta sp002313505	ERS7419567	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296025/genomes1/MGYG000296025.gff.gz
MGYG000296026	MAG	1323945	226	7480	62.78	67.83	0.28	0.00	0.00	0.00	17	CAJYBP01	MGYG000296026	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_E;s__Synechococcus_E sp000195975	ERS7419429	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296026/genomes1/MGYG000296026.gff.gz
MGYG000296027	MAG	834986	13	97827	31.53	73.8	0.61	94.96	20.68	0.00	20	CAJWHH01	MGYG000296027	d__Bacteria;p__Desulfobacterota_D;c__UBA1144;o__UBA1144;f__UBA1144;g__TMED58;s__TMED58 sp002167555	ERS7418302	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296027/genomes1/MGYG000296027.gff.gz
MGYG000296028	MAG	3521442	387	12819	63.02	91.51	1.9	95.80	99.67	78.19	19	CAJXPK01	MGYG000296028	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nevskiales;f__Oceanococcaceae;g__Abyssibacter;s__	ERS7419189	ERP121137	Arctic Ocean	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296028/genomes1/MGYG000296028.gff.gz
MGYG000296029	MAG	1093277	53	83998	33.45	62.46	0.87	94.12	0.00	7.38	19	CAJXAN01	MGYG000296029	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_B;f__TMED25;g__TMED25;s__TMED25 sp002704755	ERS7418875	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296029/genomes1/MGYG000296029.gff.gz
MGYG000296030	MAG	1647735	37	78849	65.39	93.31	0.53	0.00	36.14	0.00	18	CAJXSH01	MGYG000296030	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrococcales;f__Nitrococcaceae;g__Spiribacter;s__	ERS7419558	ERP121137	Puerto Rico	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296030/genomes1/MGYG000296030.gff.gz
MGYG000296031	MAG	2748578	288	12986	57.17	63.31	1.83	94.96	0.00	0.00	8	CAJXBY01	MGYG000296031	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Arenicellales;f__UBA868;g__UBA9619;s__	ERS7419095	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296031/genomes1/MGYG000296031.gff.gz
MGYG000296032	MAG	1135337	89	19922	42.54	59.6	0.91	91.60	0.00	11.04	13	CAJYCI01	MGYG000296032	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__HTCC2089;g__UBA9659;s__	ERS7419664	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296032/genomes1/MGYG000296032.gff.gz
MGYG000296033	MAG	1884759	56	47272	43.08	98.74	0.84	94.12	99.67	38.87	18	CAJXLC01	MGYG000296033	d__Bacteria;p__Proteobacteria;c__Zetaproteobacteria;o__Mariprofundales;f__Mariprofundaceae;g__GCA-2401635;s__	ERS7419651	ERP121137	Greece	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296033/genomes1/MGYG000296033.gff.gz
MGYG000296034	MAG	2536857	305	11187	60.16	94.11	2.14	0.00	8.74	0.00	17	CAJWRS01	MGYG000296034	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__UBA9410;s__UBA9410 sp002348705	ERS7419035	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296034/genomes1/MGYG000296034.gff.gz
MGYG000296035	MAG	1228337	154	11219	30.0	75.99	2.54	0.00	0.00	0.00	14	CAJXFN01	MGYG000296035	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__BACL11;g__GCA-002697625;s__	ERS7419522	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296035/genomes1/MGYG000296035.gff.gz
MGYG000296036	MAG	3669015	221	23432	40.02	96.96	2.08	0.00	0.00	0.00	20	CAJXBL01	MGYG000296036	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Leeuwenhoekiella;s__Leeuwenhoekiella palythoae	ERS7419663	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296036/genomes1/MGYG000296036.gff.gz
MGYG000296037	MAG	2652270	127	35791	52.44	94.44	0.12	93.28	0.00	11.08	17	CAJXQG01	MGYG000296037	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudohongiellaceae;g__OM182;s__OM182 sp001438145	ERS7419175	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296037/genomes1/MGYG000296037.gff.gz
MGYG000296038	MAG	1744789	97	27538	41.15	92.96	2.33	0.00	0.00	0.00	16	CAJXEK01	MGYG000296038	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__UA16;g__UBA974;s__UBA974 sp002693775	ERS7418583	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296038/genomes1/MGYG000296038.gff.gz
MGYG000296039	MAG	2256817	20	237596	41.54	98.16	0.91	89.92	51.86	7.42	18	CAJXSK01	MGYG000296039	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Cycloclasticaceae;g__Cycloclasticus;s__	ERS7418778	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296039/genomes1/MGYG000296039.gff.gz
MGYG000296040	MAG	2295781	43	106209	52.33	100	0.1	0.00	0.00	29.26	20	CAJWGP01	MGYG000296040	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__UBA3002;g__UBA3002;s__UBA3002 sp002346425	ERS7418838	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296040/genomes1/MGYG000296040.gff.gz
MGYG000296041	MAG	3128456	141	31119	62.41	97.49	1.03	0.00	0.00	0.00	20	CAJXMA01	MGYG000296041	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Halospina;s__Halospina utahensis_B	ERS7418600	ERP121137	USA	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296041/genomes1/MGYG000296041.gff.gz
MGYG000296042	MAG	1292431	140	11937	36.17	77.92	0.32	0.00	0.00	0.00	15	CAJXKN01	MGYG000296042	d__Bacteria;p__Caldisericota;c__Caldisericia;o__Caldisericales;f__Caldisericaceae;g__;s__	ERS7418632	ERP121137	Greece	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296042/genomes1/MGYG000296042.gff.gz
MGYG000296043	MAG	1018132	200	5810	62.79	55.08	0.91	0.00	0.00	0.00	15	CAJWVT01	MGYG000296043	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__Synechococcus_E;s__Synechococcus_E sp000012625	ERS7419552	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296043/genomes1/MGYG000296043.gff.gz
MGYG000296044	MAG	1758595	151	19656	50.53	86.5	0.82	0.00	99.61	99.86	19	CAJWUF01	MGYG000296044	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__PCC-6307;f__Cyanobiaceae;g__;s__	ERS7418795	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296044/genomes1/MGYG000296044.gff.gz
MGYG000296045	MAG	1851669	99	35119	64.66	86.09	1.28	0.00	0.00	0.00	16	CAJWFG01	MGYG000296045	d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Acidimicrobiales;f__MedAcidi-G1;g__UBA3125;s__UBA3125 sp002501135	ERS7418417	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296045/genomes1/MGYG000296045.gff.gz
MGYG000296046	MAG	2205054	41	86293	43.85	94.81	0.09	0.00	22.90	0.00	14	CAJWHK01	MGYG000296046	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__UBA7434;g__UBA7434;s__UBA7434 sp002339085	ERS7419359	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296046/genomes1/MGYG000296046.gff.gz
MGYG000296047	MAG	1343841	13	229808	35.89	93.85	0.43	94.12	60.67	12.48	20	CAJWPC01	MGYG000296047	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales_B;f__TMED25;g__TMED25;s__TMED25 sp002694595	ERS7419000	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296047/genomes1/MGYG000296047.gff.gz
MGYG000296048	MAG	1826381	66	58843	41.74	98.66	0.0	94.12	0.00	11.42	20	CAJWFD01	MGYG000296048	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Schleiferiaceae;g__UBA10364;s__UBA10364 sp003487785	ERS7419229	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296048/genomes1/MGYG000296048.gff.gz
MGYG000296049	MAG	3837489	692	6492	63.07	61.86	0.0	0.00	0.00	0.00	12	CAJXHQ01	MGYG000296049	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__FREY01;s__	ERS7418636	ERP121137	Spain	Europe	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296049/genomes1/MGYG000296049.gff.gz
MGYG000296050	MAG	981757	49	34500	29.68	79.12	0.0	0.00	21.40	0.00	9	CAJWTI01	MGYG000296050	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__TMED127;f__TMED127;g__MED-G10;s__MED-G10 sp902547955	ERS7419030	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296050/genomes1/MGYG000296050.gff.gz
MGYG000296051	MAG	1483686	7	287852	55.29	67.99	0.0	95.80	59.95	11.38	17	CAJWTL01	MGYG000296051	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA2991;f__UBA2991;g__UBA2991;s__UBA2991 sp002346645	ERS7419560	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296051/genomes1/MGYG000296051.gff.gz
MGYG000296052	MAG	1177847	67	28363	39.21	69.02	2.44	0.00	0.00	0.00	11	CAJXBO01	MGYG000296052	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__UBA11654;f__UBA11654;g__UBA11654;s__UBA11654 sp902553145	ERS7418282	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296052/genomes1/MGYG000296052.gff.gz
MGYG000296053	MAG	2194541	150	24248	44.44	95.55	0.0	95.80	35.75	5.88	18	CAJWHA01	MGYG000296053	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__HTCC2207;s__HTCC2207 sp002685195	ERS7418237	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296053/genomes1/MGYG000296053.gff.gz
MGYG000296054	MAG	3452031	195	31634	58.01	96.01	1.98	94.96	9.26	82.97	18	CAJWWE01	MGYG000296054	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__UBA3495;f__UBA3495;g__UBA11650;s__UBA11650 sp002710215	ERS7419172	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296054/genomes1/MGYG000296054.gff.gz
MGYG000296055	MAG	1258272	188	8451	41.77	82.86	1.11	94.12	0.00	0.00	18	CAJXQF01	MGYG000296055	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Porticoccaceae;g__Porticoccus;s__	ERS7419038	ERP121137	Canada	North America	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296055/genomes1/MGYG000296055.gff.gz
MGYG000296056	MAG	1183704	97	21713	40.34	80.24	0.35	0.00	0.00	0.00	17	CAJWKF01	MGYG000296056	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Nitrosococcales;f__Methylophagaceae;g__GCA-002733105;s__	ERS7418486	ERP121137	not provided	not provided	ftp://ftp.ebi.ac.uk/pub/databases/metagenomics/mgnify_genomes/marine/v1.0/all_genomes/MGYG0002960/MGYG000296056/genomes1/MGYG000296056.gff.gz
